psrc_zone_id	bkr_zone_id	percent
305	1259	0.97
305	1264	0.03
306	1259	0.98
306	1264	0.02
307	1264	1
308	1264	1
309	1262	1
310	1260	0.02
310	1262	0.98
311	1260	0.04
311	1262	0.96
312	1260	0.55
312	1262	0.45
313	1260	1
314	1260	1
315	1260	1
316	1260	1
317	1260	1
318	1260	1
319	1260	1
320	1260	1
321	1260	1
322	1260	1
323	1260	1
324	1260	1
325	1260	1
326	1260	1
327	1260	1
328	1260	0.98
328	1343	0.02
329	1260	0.91
329	1343	0.09
330	1260	0.06
330	1343	0.94
331	1345	1
332	1345	1
333	1342	0.01
333	1345	0.99
334	1342	0.99
334	1345	0.01
335	1342	0.99
335	1345	0.01
336	1342	1
337	1341	0.98
337	1342	0.02
338	1341	0.95
338	1342	0.05
339	1342	1
340	1342	1
341	1342	1
342	1342	1
343	1342	1
344	1342	0.01
344	1345	0.99
345	1345	1
346	1345	1
347	1345	0.99
347	1348	0.01
348	1345	1
349	1345	1
350	1342	0.81
350	1345	0.19
351	1342	1
352	1342	1
353	1342	1
354	1342	1
355	1341	0.98
355	1342	0.02
356	1341	1
357	1341	1
358	1341	1
359	1341	1
360	1257	1
361	1257	1
362	1257	1
363	1257	1
364	1257	1
365	1257	1
366	1257	1
367	1257	1
368	1257	1
369	1257	1
370	1257	1
371	1257	1
372	1257	1
373	1257	1
374	1257	1
375	1257	1
376	1257	1
377	1257	1
378	1257	1
379	1257	1
380	1257	1
381	1257	1
382	1257	1
383	1257	1
384	1341	1
385	1341	1
386	1341	1
387	1341	0.66
387	1342	0.34
388	1342	1
389	1342	1
390	1342	0.91
390	1345	0.09
391	1342	0.63
391	1345	0.37
392	1345	1
393	1345	1
394	1342	1
395	1342	1
396	1341	0.01
396	1342	0.99
397	1341	0.85
397	1342	0.15
398	1340	0.06
398	1341	0.93
398	1342	0.01
399	1341	1
400	1340	0.05
400	1341	0.95
401	1341	1
402	1341	1
403	1341	1
404	1341	1
405	1257	1
406	1256	0.05
406	1257	0.95
407	1256	0.01
407	1257	0.99
408	1254	0.07
408	1257	0.93
409	1254	0.06
409	1257	0.94
410	1254	0.02
410	1257	0.98
411	1254	0.01
411	1257	0.99
412	1255	0.01
412	1257	0.99
413	1255	0.01
413	1257	0.99
414	1255	0.01
414	1257	0.99
415	1255	0.01
415	1257	0.99
416	1255	0.85
416	1257	0.15
417	1255	1
418	1255	0.98
418	1257	0.02
419	1255	0.98
419	1257	0.02
420	1255	0.99
420	1257	0.01
421	1255	1
422	1254	0.02
422	1255	0.98
423	1254	1
424	1254	1
425	1254	1
426	1254	0.97
426	1256	0.03
427	1256	1
428	1256	0.64
428	1257	0.36
429	1256	1
430	1256	1
431	1256	1
432	1256	0.99
