TAZ,OldDistric,County,New DistrictName,Region_old,Region
176,8,King,East Side,BKR,BKR
177,8,King,East Side,BKR,BKR
178,8,King,East Side,BKR,BKR
179,8,King,East Side,BKR,BKR
180,8,King,East Side,BKR,BKR
181,8,King,East Side,BKR,BKR
182,8,King,East Side,BKR,BKR
183,8,King,East Side,BKR,BKR
184,8,King,East Side,BKR,BKR
185,8,King,East Side,BKR,BKR
186,8,King,East Side,BKR,BKR
187,8,King,East Side,BKR,BKR
188,8,King,East Side,BKR,BKR
189,8,King,East Side,BKR,BKR
190,8,King,East Side,BKR,BKR
191,8,King,East Side,BKR,BKR
192,8,King,East Side,BKR,BKR
193,8,King,East Side,BKR,BKR
194,8,King,East Side,BKR,BKR
195,8,King,East Side,BKR,BKR
196,8,King,East Side,BKR,BKR
197,8,King,East Side,BKR,BKR
198,8,King,East Side,BKR,BKR
199,8,King,East Side,BKR,BKR
200,8,King,East Side,BKR,BKR
201,8,King,East Side,BKR,BKR
202,8,King,East Side,BKR,BKR
203,8,King,East Side,BKR,BKR
204,8,King,East Side,BKR,BKR
205,8,King,East Side,BKR,BKR
206,8,King,East Side,BKR,BKR
207,8,King,East Side,BKR,BKR
208,8,King,East Side,BKR,BKR
209,8,King,East Side,BKR,BKR
210,8,King,East Side,BKR,BKR
211,8,King,East Side,BKR,BKR
212,8,King,East Side,BKR,BKR
213,8,King,East Side,BKR,BKR
214,8,King,East Side,BKR,BKR
215,9,King,East Side,BKR,BKR
216,8,King,East Side,BKR,BKR
217,8,King,East Side,BKR,BKR
218,8,King,East Side,BKR,BKR
219,8,King,East Side,BKR,BKR
220,8,King,East Side,BKR,BKR
221,8,King,East Side,BKR,BKR
222,8,King,East Side,BKR,BKR
223,8,King,East Side,BKR,BKR
224,8,King,East Side,BKR,BKR
225,8,King,East Side,BKR,BKR
226,8,King,East Side,BKR,BKR
227,9,King,East Side,BKR,BKR
228,9,King,East Side,BKR,BKR
229,9,King,East Side,BKR,BKR
