arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
415 2 1 385 -1 797163 2 1259 420 1 303533 48360 6 1 688665 0 1139 3 1 1 1767 1.125 23 49 4.59375 1 1 6
450 4 1 420 2 756520 2 1334 555 1 303533 48361 5 2 797163 2 1259 1 1 1 1767 3.132 18 42 4.59375 2 2 12
780 4 1 745 2 1161596 2 1245 870 2 303533 48363 5 2 797163 2 1259 1 1 1 1767 1.374 9 26 4.59375 1 4 12
620 2 1 555 -1 797163 2 1259 745 1 303533 48362 5 4 756520 2 1334 1 1 1 1767 3.864 19 39 4.59375 3 3 12
765 4 1 750 -1 1067474 1 953 1095 1 303535 48354 3 4 1104264 4 1113 1 1 1 1769 0.878 3 9 15.3 3 3 12
585 4 1 570 -1 1067474 1 953 720 1 303535 48352 6 1 909225 0 1003 3 1 1 1769 1.125 2 6 15.3 1 1 12
1120 4 1 1095 1 1125880 5 1047 1135 2 303535 48355 5 4 1067474 1 953 1 1 1 1769 0.714 3 10 15.3 1 4 28
1145 1 1 1135 1 909225 0 1003 1440 2 303535 48356 5 4 1125880 5 1047 1 1 1 1769 0.228250909091 1 4 15.3 2 5 28
735 4 1 720 -1 1104264 4 1113 750 1 303535 48353 3 4 1067474 1 953 1 1 1 1769 0.774 4 9 15.3 2 2 12
585 2 1 540 1 797163 2 1259 1020 1 303545 48343 4 1 733459 0 515 1 1 1 1772 2.678 15 28 5.1375 1 1 10
1140 1 1 1100 2 733459 0 515 1440 2 303545 48345 4 4 902588 3 1334 1 1 1 1772 3.036 16 38 5.1375 2 3 10
1060 4 1 1020 -1 902588 3 1334 1100 2 303545 48344 3 2 797163 2 1259 1 1 1 1772 3.64 18 41 5.1375 1 2 6
780 1 1 730 -1 1202610 0 435 1440 2 303668 48141 3 2 1087477 2 1258 1 1 1 1830 2.99 17 31 15.09625 1 2 6
470 2 1 435 -1 1087477 2 1258 730 1 303668 48140 3 1 1202610 0 435 1 1 1 1830 2.972 17 38 15.09625 1 1 6
1130 1 1 975 -1 1082909 0 598 1440 2 303782 47896 6 2 799719 2 1259 3 1 1 1908 1.125 17 40 5.55375 1 2 6
460 2 1 360 -1 799719 2 1259 975 1 303782 47895 6 1 1082909 0 598 3 1 1 1908 1.125 18 39 5.55375 1 1 6
600 2 1 540 -1 797163 2 1259 1280 1 303814 47832 6 1 1201935 0 352 3 1 1 1924 1.125 16 30 5.1375 1 1 6
1335 1 1 1280 -1 1201935 0 352 1440 2 303814 47833 6 2 797163 2 1259 3 1 1 1924 1.125 16 29 5.1375 1 2 6
1125 4 1 1100 -1 1219740 4 1253 1200 2 303819 47817 6 2 797163 2 1259 3 1 1 1927 1.125 7 25 15.09625 1 2 6
1285 1 1 1260 2 1031435 0 41 1440 2 303819 47819 4 3 1219745 6 1253 1 1 1 1927 2.778 12 26 15.09625 3 4 10
1205 3 1 1200 -1 1219745 6 1253 1260 2 303819 47818 1 4 1219740 4 1253 1 1 1 1927 0 0.25 5 15.09625 2 3 6
540 2 1 510 -1 797163 2 1259 1100 1 303819 47816 6 1 1031435 0 41 3 1 1 1927 1.125 16 32 15.09625 1 1 6
1035 4 1 1025 2 944029 5 421 1050 2 303859 47705 4 4 742568 4 21 1 1 2 1955 0.220926666667 1 5 5.55375 2 5 10
1060 1 1 1050 2 1034845 0 53 1440 2 303859 47706 4 4 944029 5 421 1 1 2 1955 0.366759469697 1 3 5.55375 3 6 10
995 4 1 990 2 966447 3 277 1010 1 303859 47703 4 1 1034845 0 53 1 1 2 1955 0.858 3 7 5.55375 1 3 10
1015 4 1 1010 2 742568 4 21 1025 2 303859 47704 4 4 966447 3 277 1 1 2 1955 0.794 3 10 5.55375 1 4 10
725 1 1 705 -1 1034845 0 53 990 2 303859 47702 6 2 797163 2 1259 3 1 1 1954 1.125 16 30 5.55375 1 2 6
500 2 1 470 -1 797163 2 1259 705 1 303859 47701 6 1 1034845 0 53 3 1 1 1954 1.125 16 37 5.55375 1 1 6
610 2 1 530 -1 797163 2 1259 1170 1 303949 47510 6 1 766290 0 1094 3 1 1 2015 1.125 24 39 4.59375 1 1 6
1320 1 1 1290 -1 766290 0 1094 1440 2 303949 47512 6 3 1100847 6 1248 3 1 1 2015 1.125 20 32 4.59375 2 3 6
1210 3 1 1170 -1 1100847 6 1248 1290 2 303949 47511 6 2 797163 2 1259 3 1 1 2015 1.125 7 23 4.59375 1 2 6
885 1 1 860 -1 789469 1 11 1190 2 304014 47357 6 3 751731 6 1259 3 1 1 2064 1.125 16 33 5.55375 2 3 6
750 3 1 725 -1 751731 6 1259 860 2 304014 47356 6 2 1078364 2 1253 3 1 1 2064 1.125 7 23 5.55375 1 2 6
595 2 1 560 -1 1078364 2 1253 725 1 304014 47355 6 1 805864 0 53 3 1 1 2064 1.125 12 25 5.55375 1 1 6
810 2 1 770 -1 751805 2 1259 950 1 304048 47262 6 4 865221 4 1268 3 1 1 2092 1.125 6 22 5.55375 2 2 6
1055 1 1 1030 -1 1072079 0 903 1440 2 304048 47264 6 4 679927 5 916 3 1 1 2092 1.125 2 9 5.55375 2 4 6
