arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
480 2 1 430 -1 1078364 2 1253 595 1 300083 54016 6 1 1071194 0 1341 3 1 1 25 1.125 5 21 18.33375 1 1 6
600 3 1 595 -1 1078307 6 1254 625 2 300083 54017 1 2 1078364 2 1253 1 1 1 25 0 4 80 18.33375 1 2 6
630 2 1 625 -1 1078364 2 1253 715 2 300083 54018 1 3 1078307 6 1254 1 1 1 25 0 4 80 18.33375 2 3 6
740 4 1 715 -1 829946 1 1340 745 2 300083 54019 6 2 1078364 2 1253 3 1 1 25 1.125 5 20 18.33375 3 4 6
770 4 1 745 -1 1149412 5 1253 865 2 300083 54020 6 4 829946 1 1340 3 1 1 25 1.125 5 20 18.33375 4 5 6
870 4 1 865 -1 1078357 6 1253 890 2 300083 54021 1 4 1149412 5 1253 1 1 1 25 0 0.25 5 18.33375 5 6 6
895 2 1 890 -1 1103203 2 1253 960 2 300083 54022 1 4 1078357 6 1253 1 1 1 25 0 0.25 5 18.33375 6 7 6
990 4 1 960 -1 995555 1 1341 1270 2 300083 54023 6 2 1103203 2 1253 3 1 1 25 1.125 5 21 18.33375 7 8 6
1275 1 1 1270 -1 1071194 0 1341 1440 2 300083 54024 1 4 995555 1 1341 1 1 1 25 0 0.95 19 18.33375 8 9 6
585 2 1 570 -1 932775 2 1269 660 1 300085 54010 1 1 1209040 0 1268 1 1 1 26 0 4.95 99 14.83 1 1 6
675 1 1 660 -1 1209040 0 1268 690 2 300085 54011 1 2 932775 2 1269 1 1 1 26 0 4.95 99 14.83 1 2 6
705 2 1 690 -1 932775 2 1269 730 1 300085 54012 1 1 1209040 0 1268 1 1 2 27 0 4.95 99 14.83 1 3 6
745 1 1 730 -1 1209040 0 1268 1050 2 300085 54013 1 2 932775 2 1269 1 1 2 27 0 4.95 99 14.83 1 4 6
1065 2 1 1050 -1 932775 2 1269 1220 1 300085 54014 1 1 1209040 0 1268 1 1 3 28 0 4.95 99 14.83 1 5 6
1235 1 1 1220 -1 1209040 0 1268 1440 2 300085 54015 1 2 932775 2 1269 1 1 3 28 0 4.95 99 14.83 1 6 6
945 1 1 900 -1 1115641 0 1256 990 2 300086 54007 1 4 735363 1 1249 1 1 1 29 0 4.95 99 5.20125 2 3 6
1005 2 1 990 -1 1078365 6 1253 1080 1 300086 54008 1 1 1115641 0 1256 1 1 2 30 0 4.2 84 5.20125 1 4 6
1095 1 1 1080 -1 1115641 0 1256 1440 2 300086 54009 1 2 1078365 6 1253 1 1 2 30 0 4.2 84 5.20125 1 5 6
585 2 1 570 -1 1078364 2 1253 720 1 300086 54005 1 1 1115641 0 1256 1 1 1 29 0 4.2 84 5.20125 1 1 6
765 4 1 720 -1 735363 1 1249 900 2 300086 54006 1 2 1078364 2 1253 1 1 1 29 0 4.55 91 5.20125 1 2 6
660 4 1 595 -1 829726 1 1256 1080 2 300087 54002 6 2 932775 2 1269 3 1 1 31 1.125 9 25 4.88375 1 2 6
1155 4 1 1080 -1 782439 5 1271 1170 2 300087 54003 6 4 829726 1 1256 3 1 1 31 1.125 11 32 4.88375 2 3 6
1180 1 1 1170 -1 1161013 0 1271 1440 2 300087 54004 3 4 782439 5 1271 1 1 1 31 0.141378181818 1 7 4.88375 3 4 6
480 2 1 450 -1 932775 2 1269 595 1 300087 54001 3 1 1161013 0 1271 1 1 1 31 0.84 6 23 4.88375 1 1 6
425 2 1 390 -1 1222516 2 1256 475 1 300089 53995 6 1 1238880 0 1262 3 1 1 32 1.125 6 24 5.20125 1 1 6
1000 1 1 960 -1 1238881 0 1262 1440 2 300089 54000 6 4 1103203 2 1253 3 1 1 32 1.125 7 25 5.20125 3 6 6
490 3 1 475 -1 1078571 6 1256 510 1 300089 53996 1 2 1222516 2 1256 1 1 1 32 0 0.55 11 5.20125 2 2 6
745 2 1 740 -1 1222548 6 1253 760 2 300089 53998 1 2 1222516 2 1256 1 1 1 32 0 4.2 84 5.20125 1 4 6
765 4 1 760 -1 1103203 2 1253 960 2 300089 53999 1 2 1222548 6 1253 1 1 1 32 0 0.25 5 5.20125 2 5 6
525 2 1 510 -1 1222516 2 1256 740 1 300089 53997 1 3 1078571 6 1256 1 1 1 32 0 0.55 11 5.20125 3 3 6
350 4 1 315 -1 1150482 1 1324 855 1 300094 53993 3 1 942434 0 1246 1 1 1 33 4.97 25 43 9.9 1 1 12
915 1 1 855 -1 942434 0 1246 1440 2 300094 53994 3 4 1150482 1 1324 1 1 1 33 4.934 25 43 9.9 1 2 12
715 3 1 685 -1 1208333 6 1247 765 1 300098 53989 6 1 758555 0 1243 3 1 1 34 1.125 7 24 5.20125 1 1 6
775 2 1 765 -1 1222518 2 1256 1035 1 300098 53990 6 3 1208333 6 1247 3 1 1 34 1.125 5 20 5.20125 2 2 6
1080 4 1 1035 -1 794223 5 1244 1090 2 300098 53991 6 2 1222518 2 1256 3 1 1 34 1.125 6 24 5.20125 1 3 6
1095 1 1 1090 -1 758555 0 1243 1440 2 300098 53992 6 4 794223 5 1244 3 1 1 34 1.125 5 20 5.20125 2 4 6
475 2 1 450 -1 932775 2 1269 600 1 300101 53985 1 1 913897 0 1268 1 1 2 36 0 4.95 99 4.88375 1 1 6
625 1 1 600 -1 913897 0 1268 950 2 300101 53986 1 2 932775 2 1269 1 1 2 36 0 4.95 99 4.88375 1 2 6
960 4 1 950 -1 913574 1 1268 1325 1 300101 53987 1 1 913897 0 1268 1 1 1 35 0 0.8 16 4.88375 1 3 12
1335 1 1 1325 -1 913897 0 1268 1440 2 300101 53988 1 4 913574 1 1268 1 1 1 35 0 0.8 16 4.88375 1 4 12
465 2 1 445 -1 932775 2 1269 530 1 300104 53977 6 1 920784 0 1270 3 1 1 37 1.125 4 19 4.88375 1 1 6
535 2 1 530 -1 932775 2 1269 710 1 300104 53978 1 2 932775 2 1269 1 1 1 37 0 1.7 34 4.88375 2 2 6
715 2 1 710 -1 932775 6 1269 780 2 300104 53979 1 2 932775 2 1269 1 1 1 37 0 1.7 34 4.88375 1 3 6
785 2 1 780 -1 1030275 7 1269 950 2 300104 53980 1 2 932775 6 1269 1 1 1 37 0 1.7 34 4.88375 2 4 6
