fraction_with_jobs_outside hh515 hhcu5 hhexpfac hhftw hhhsc hhincome hhno hhoad hhparcel hhptw hhret hhsize hhtaz hhuni hhvehs hhwkrs hownrent hrestype samptype zone_id
0 0 0 503.0059 2 0 62500 14100296 0 1048733 0 0 2 843 0 2 2 2 1 0 1725
0 0 0 204.8846 0 0 275000 14100297 0 1013079 0 3 3 824 0 2 0 1 1 0 1721
0 0 0 620.5776 0 0 175000 14100298 1 887168 1 0 2 771 0 3 1 1 1 0 1663
0 0 0 552.0743 0 0 62500 14100299 0 1047089 1 0 1 1013 0 1 1 1 2 0 1684
0 0 0 294.1416 2 0 275000 14100300 0 744729 0 0 2 715 0 2 2 1 1 0 1640
0 0 0 99.3424 2 0 125000 14100303 0 826442 0 0 2 595 0 3 2 1 1 0 1423
0 0 0 323.6363 0 0 -1 14100359 0 717220 0 2 2 440 0 1 0 2 3 0 1538
0 0 0 1406.1758 0 0 17500 14100371 1 935871 1 0 2 1158 0 2 1 1 1 0 1679
0 0 0 76.3359 0 1 62500 14100372 1 914159 0 0 2 1204 0 1 0 1 1 0 1906
0 0 0 101.9235 0 0 225000 14100387 0 1272805 1 1 2 91 0 2 1 1 1 0 1606
0 0 0 205.5556 1 0 62500 14100388 1 693911 0 0 2 16 0 2 1 1 5 0 1543
0 0 0 128.4014 0 0 62500 14100412 0 1034633 0 2 2 47 0 2 0 2 5 0 1543
0 0 0 129.9491 0 0 30000 14100413 0 886182 0 2 2 216 0 1 0 1 5 0 1566
0 0 0 382.6605 1 0 40000 14100414 0 717502 0 0 1 121 0 1 1 1 1 0 1628
0 0 0 240.4428 1 0 30000 14100435 0 988358 0 0 1 916 0 1 1 1 5 0 1811
0 2 0 1175.219 1 0 87500 14100472 0 819975 1 0 4 1178 0 2 2 1 1 0 1711
0 0 0 130.5455 2 0 87500 14100473 0 1126130 0 0 2 1169 0 1 2 1 1 0 1705
0 0 2 488.183 1 0 -1 14100494 1 1020038 0 0 4 544 0 2 1 1 1 0 1452
0 0 0 449.8968 1 0 40000 14100495 0 1236796 1 0 2 648 0 1 2 1 5 0 1427
0 2 0 488.183 0 0 175000 14100496 1 1197670 1 0 4 620 0 2 1 1 1 0 1601
0 1 0 443.5331 2 0 225000 14100498 0 1204943 0 0 3 1001 0 2 2 1 1 0 1659
0 0 0 540.3816 1 0 40000 14100499 0 744940 0 0 1 720 0 1 1 1 2 0 1642
0 1 0 364.0161 1 0 125000 14100500 1 1265681 0 0 3 819 0 2 1 1 1 0 1720
0 0 0 1161.3797 3 0 175000 14100501 0 840935 0 0 3 853 0 8 3 1 1 0 1752
0 0 0 242.2778 0 0 40000 14100544 0 1090810 0 2 2 102 0 2 0 1 1 0 1608
0 0 0 74.3217 0 0 175000 14100545 0 846263 0 1 1 525 0 1 0 1 1 0 1474
0 0 0 114.0657 1 0 125000 14100546 0 845984 0 0 1 129 0 1 1 1 5 0 1610
0 1 0 87.9501 0 0 40000 14100549 1 875923 0 0 2 741 0 1 0 2 5 0 1665
0 0 0 210.9064 1 0 40000 14100550 0 944292 0 0 1 797 0 1 1 2 5 0 1698
0 0 1 277.5422 1 0 87500 14100551 1 688673 0 0 3 1007 0 2 1 2 2 0 1671
0 0 0 143.6928 1 0 87500 14100552 0 984754 0 0 1 815 0 1 1 2 5 0 1719
0 0 0 96.6293 1 0 -1 14100553 1 677245 0 0 2 809 0 2 1 1 1 0 1717
0 0 2 171.876 1 0 87500 14100574 1 792163 0 0 4 217 0 1 1 2 5 0 1567
0 2 0 225.9717 1 0 -1 14100575 0 717505 0 0 3 382 0 3 1 1 1 0 1509
0 1 1 199.9952 1 0 175000 14100576 0 1176484 1 0 4 576 0 2 2 1 1 0 1468
0 2 1 312.7327 2 0 5000 14100577 0 787854 0 0 5 497 0 1 2 1 2 0 1469
0 2 0 409.1384 2 0 275000 14100578 0 902810 0 0 4 649 0 3 2 1 1 0 1423
0 1 1 230.2899 1 0 125000 14100579 1 749490 0 0 4 988 0 2 1 1 5 0 1645
0 0 2 146.3455 1 0 30000 14100593 1 680011 0 0 4 916 0 1 1 2 5 0 1808
0 0 0 126.6505 1 0 125000 14100644 0 1183633 1 0 2 990 0 2 2 1 1 0 1657
