hhno id pagey pdiary pgend pno ppaidprk pproxy pptyp psaudist psautime psexpfac pspcl pstaz pstyp ptpass puwarrp puwdepp puwmode pwaudist pwautime pwpcl pwtaz pwtyp
14106066 14061 8 -1 1 3 1 3 7 10.0 45.0 470.5833 401857 1322 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106065 14058 21 -1 1 1 -1 1 1 -1.0 -1.0 348.8189 0 -1 0 5 -1 -1 -1 10.0 45 280652 1347 1
14106064 14055 30 -1 2 1 -1 1 2 -1.0 -1.0 419.9198 0 -1 0 0 -1 -1 -1 3.0 16 487239 1323 2
14106064 14056 70 -1 1 2 1 1 3 -1.0 -1.0 419.9198 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106064 14057 8 -1 1 3 1 1 7 3.0 16.0 419.9198 427648 1323 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106063 14053 70 -1 1 1 0 1 1 -1.0 -1.0 105.004 0 -1 0 0 -1 -1 -1 2.0 10 1076712 1308 1
14106063 14054 60 -1 2 2 -1 3 1 -1.0 -1.0 105.004 0 -1 0 0 -1 -1 -1 5.0 19 1148207 1303 1
14106062 14052 70 -1 2 1 -1 1 1 -1.0 -1.0 407.4941 0 -1 0 0 -1 -1 -1 7.0 31 1191694 1317 1
14106061 14050 60 -1 2 1 -1 1 1 -1.0 -1.0 294.0266 0 -1 0 0 -1 -1 -1 28.0 90 3020 1319 1
14106061 14051 90 -1 2 2 1 2 3 -1.0 -1.0 294.0266 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106060 14049 70 -1 1 1 1 1 3 -1.0 -1.0 398.2326 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106059 14047 60 -1 2 1 0 1 1 -1.0 -1.0 174.8373 0 -1 0 0 -1 -1 -1 6.0 22 196314 1278 1
14106059 14048 21 -1 2 2 0 1 1 -1.0 -1.0 174.8373 0 -1 0 0 -1 -1 -1 6.0 22 129804 1278 1
14106058 14044 40 -1 1 1 0 1 1 -1.0 -1.0 271.7649 0 -1 0 0 -1 -1 -1 25.0 64 126623 1281 1
14106058 14045 40 -1 2 2 1 1 2 -1.0 -1.0 271.7649 0 -1 0 5 -1 -1 -1 -1.0 -1 0 -1 2
