hhno id pagey pdiary pgend pno ppaidprk pproxy pptyp psaudist psautime psexpfac pspcl pstaz pstyp ptpass puwarrp puwdepp puwmode pwaudist pwautime pwpcl pwtaz pwtyp
14100575 3076 50 -1 1 1 -1 1 1 -1 -1 225.9717 0 -1 0 0 -1 -1 -1 4 10 871449 945 1
14100575 3077 8 -1 2 2 1 2 7 3 7 225.9717 768564 336 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100575 3078 8 -1 1 3 1 2 7 3 7 225.9717 768564 336 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100576 3079 40 -1 1 1 1 1 1 -1 -1 199.9952 0 -1 0 3 -1 -1 -1 11 31 1227150 1247 1
14100576 3080 30 -1 2 2 -1 3 2 -1 -1 199.9952 0 -1 0 0 -1 -1 -1 12 21 903880 879 2
14100576 3081 8 -1 1 3 1 3 7 0 1 199.9952 787830 577 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100576 3082 2 -1 2 4 1 -1 8 -1 -1 199.9952 0 -1 1 0 -1 -1 -1 -1 -1 0 -1 0
14100577 3083 40 -1 1 1 1 1 1 -1 -1 312.7327 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 1
14100577 3084 40 -1 2 2 1 2 1 -1 -1 312.7327 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 1
14100577 3085 8 -1 2 3 1 3 7 0 2 312.7327 846653 524 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100577 3087 2 -1 2 5 1 -1 8 -1 -1 312.7327 0 -1 1 0 -1 -1 -1 -1 -1 0 -1 0
14100577 3086 8 -1 1 4 1 3 7 0 2 312.7327 846653 524 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100578 3089 50 -1 1 2 1 2 1 -1 -1 409.1384 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 1
14100578 3088 40 -1 2 1 1 2 1 -1 -1 409.1384 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 1
14100578 3090 14 -1 2 3 1 1 7 2 7 409.1384 796750 512 1 1 -1 -1 -1 -1 -1 0 -1 0
14100578 3091 14 -1 2 4 1 2 7 3 7 409.1384 787830 577 1 1 -1 -1 -1 -1 -1 0 -1 0
14100579 3092 30 -1 1 1 -1 1 1 -1 -1 230.2899 0 -1 0 0 -1 -1 -1 5 11 997250 810 1
14100579 3094 8 -1 1 3 1 2 7 7 15 230.2899 717415 9 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100579 3093 40 -1 2 2 1 1 4 -1 -1 230.2899 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
