arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
920 1 1 905 1 211510 0 1279 1440 2 14106086 72 3 4 216902 5 1279 1 2 2 19220 0.6 3.0 16.0 233.512286364 2 6 7
240 2 1 220 1 997256 1 810 960 1 14106084 73 3 1 184082 0 1279 1 1 1 19206 3.094 13.0 24.0 1214.81701821 1 1 28
965 4 1 960 1 997426 5 865 995 2 14106084 74 3 2 997256 1 810 1 1 1 19206 0.10799959596 0.0 5.0 1214.81701821 1 2 28
1040 1 1 995 1 184082 0 1279 1050 2 14106084 75 3 4 997426 5 865 1 1 1 19206 3.27 14.0 32.0 1214.81701821 2 3 28
1070 4 1 1050 1 209972 7 1275 1150 1 14106084 76 4 1 184082 0 1279 1 1 2 19207 1.504 4.0 19.0 1214.81701821 1 4 16
1170 1 1 1150 1 184082 0 1279 1440 2 14106084 77 4 4 209972 7 1275 1 1 2 19207 1.504 4.0 19.0 1214.81701821 1 5 16
540 4 1 515 -1 216900 4 1279 665 1 14106084 78 2 1 184082 0 1279 1 2 1 19208 0.0 3.3 22.0 1269.03061107 1 1 9
675 4 1 665 -1 216734 4 1279 710 2 14106084 79 1 4 216900 4 1279 1 2 1 19208 0.0 3.7 74.0 1269.03061107 1 2 9
720 4 1 710 -1 216843 4 1279 815 2 14106084 80 1 4 216734 4 1279 1 2 1 19208 0.0 3.7 74.0 1269.03061107 2 3 9
840 1 1 815 -1 184082 0 1279 870 2 14106084 81 2 4 216843 4 1279 1 2 1 19208 0.0 3.3 22.0 1269.03061107 3 4 9
900 4 1 870 1 1100169 4 185 925 1 14106084 82 3 1 184082 0 1279 1 2 2 19209 4.396 20.0 31.0 1269.03061107 1 5 9
975 1 1 925 1 184082 0 1279 1025 2 14106084 83 3 4 1100169 4 185 1 2 2 19209 4.488 20.0 30.0 1269.03061107 1 6 9
1045 4 1 1025 -1 216734 5 1279 1050 1 14106084 84 2 1 184082 0 1279 1 2 3 19210 0.0 3.3 22.0 1269.03061107 1 7 9
1055 4 1 1050 -1 216872 4 1279 1115 1 14106084 85 2 4 216734 5 1279 1 2 3 19210 0.0 3.3 22.0 1269.03061107 2 8 9
1140 1 1 1115 -1 184082 0 1279 1440 2 14106084 86 2 4 216872 4 1279 1 2 3 19210 0.0 3.3 22.0 1269.03061107 1 9 9
505 4 1 495 1 195222 3 1279 510 1 14106084 87 4 1 184082 0 1279 1 4 1 19211 0.479711515152 3.0 16.0 1276.17453433 1 1 16
520 1 1 510 1 184082 0 1279 665 2 14106084 88 3 4 195222 3 1279 1 4 1 19211 0.479711515152 3.0 16.0 1276.17453433 1 2 9
685 4 1 665 1 216759 4 1279 740 1 14106084 89 3 1 184082 0 1279 1 4 2 19212 0.896 3.0 16.0 1276.17453433 1 3 9
760 4 1 740 1 199305 5 1279 870 1 14106084 90 3 4 216759 4 1279 1 4 2 19212 0.377386363636 3.0 16.0 1276.17453433 2 4 9
885 4 1 870 1 195222 3 1279 915 1 14106084 91 3 4 199305 5 1279 1 4 2 19212 0.134582424242 3.0 16.0 1276.17453433 3 5 9
925 1 1 915 1 184082 0 1279 1440 2 14106084 92 4 4 195222 3 1279 1 4 2 19212 0.479711515152 3.0 16.0 1276.17453433 1 6 16
505 3 1 495 2 195222 2 1279 915 1 14106084 93 4 1 184082 0 1279 1 5 1 19213 0.479711515152 3.0 16.0 1272.778125 1 1 16
925 1 1 915 2 184082 0 1279 1050 2 14106084 94 4 3 195222 2 1279 1 5 1 19213 0.479711515152 3.0 16.0 1272.778125 1 2 16
1070 4 1 1050 2 209972 7 1275 1150 1 14106084 95 4 1 184082 0 1279 1 5 2 19214 1.504 4.0 19.0 1272.778125 1 3 16
1170 1 1 1150 2 184082 0 1279 1440 2 14106084 96 4 4 209972 7 1275 1 5 2 19214 1.504 4.0 19.0 1272.778125 1 4 16
465 2 1 405 1 797163 1 1259 990 1 14106083 97 6 1 170956 0 1280 3 1 1 19205 0.0 20.0 50.0 92.3360475108 1 1 12
1090 1 1 990 1 170956 0 1280 1440 2 14106083 98 6 2 797163 1 1259 3 1 1 19205 0.0 20.0 48.0 92.3360475108 1 2 12
450 2 1 435 1 585190 1 1354 750 1 14106082 99 3 1 591505 0 1354 1 1 1 19203 0.421645833333 6.0 26.0 244.595394384 1 1 12
765 1 1 750 1 591505 0 1354 1440 2 14106082 100 3 2 585190 1 1354 1 1 1 19203 0.421645833333 6.0 26.0 244.595394384 1 2 12
500 3 1 495 1 592129 6 1354 545 1 14106082 101 3 1 591505 0 1354 1 2 1 19204 0.330768156566 6.0 26.0 253.826103672 1 1 6
555 1 1 545 1 591505 0 1354 1440 2 14106082 102 3 3 592129 6 1354 1 2 1 19204 0.330768156566 6.0 26.0 253.826103672 1 2 6
