hhno id pagey pdiary pgend pno ppaidprk pproxy pptyp psaudist psautime psexpfac pspcl pstaz pstyp ptpass puwarrp puwdepp puwmode pwaudist pwautime pwpcl pwtaz pwtyp
14106042 14011 40 -1 1 2 -1 3 1 -1.0 -1.0 84.7918 0 -1 0 0 -1 -1 -1 3.62 15 126605 1281 1
14106042 14012 2 -1 1 3 1 -1 8 -1.0 -1.0 84.7918 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106041 14009 50 -1 1 1 1 1 1 -1.0 -1.0 94.3993 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 1
14106040 14008 60 -1 2 1 1 1 4 -1.0 -1.0 590.0445 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106039 14004 80 -1 1 1 1 2 3 -1.0 -1.0 248.4509 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106039 14005 80 -1 2 2 1 1 3 -1.0 -1.0 248.4509 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106039 14006 40 -1 2 3 1 1 4 -1.0 -1.0 248.4509 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106039 14007 2 -1 2 4 1 -1 8 -1.0 -1.0 248.4509 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106038 14001 50 -1 1 1 -1 1 1 -1.0 -1.0 203.5908 0 -1 0 0 -1 -1 -1 1.19342689394 7 254856 1282 1
14106038 14002 50 -1 1 2 1 2 4 -1.0 -1.0 203.5908 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106038 14003 80 -1 2 3 1 2 3 -1.0 -1.0 203.5908 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106037 13998 40 -1 1 1 1 1 1 -1.0 -1.0 432.3846 0 -1 0 3 -1 -1 -1 8.69 24 487358 1323 1
14106037 13999 40 -1 2 2 1 1 4 -1.0 -1.0 432.3846 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106037 14000 2 -1 1 3 1 -1 8 -1.0 -1.0 432.3846 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106036 13996 60 -1 1 1 -1 1 1 -1.0 -1.0 302.9866 0 -1 0 0 -1 -1 -1 3.88 11 391689 1322 1
14106036 13997 50 -1 2 2 -1 1 1 -1.0 -1.0 302.9866 0 -1 0 0 -1 -1 -1 0.840909090909 5 381170 1322 1
14106035 13995 70 -1 2 1 -1 1 1 -1.0 -1.0 313.2234 0 -1 0 0 -1 -1 -1 48.55 106 890900 149 1
14106034 13993 70 -1 2 1 1 1 3 -1.0 -1.0 188.1994 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106034 13994 70 -1 1 2 1 2 3 -1.0 -1.0 188.1994 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106033 13992 60 -1 2 1 1 1 5 3.09 13.51 244.1428 427609 1323 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106032 13990 40 -1 1 1 1 1 4 -1.0 -1.0 374.7333 0 -1 2 0 -1 -1 -1 -1.0 -1 0 -1 0
14106032 13991 40 -1 1 2 1 2 1 -1.0 -1.0 374.7333 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 1
14106031 13986 50 -1 1 1 -1 1 1 -1.0 -1.0 508.9973 0 -1 0 0 -1 -1 -1 35.455 63 968625 1301 1
14106031 13987 50 -1 2 2 1 3 4 -1.0 -1.0 508.9973 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106031 13988 17 -1 2 3 1 3 6 2.75370795455 10.6336306462 508.9973 1104871 1325 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106031 13989 14 -1 2 4 1 3 7 2.90232323232 8.89712190874 508.9973 636563 1353 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106030 13982 40 -1 1 1 -1 2 1 -1.0 -1.0 582.3618 0 -1 0 4 -1 -1 -1 48.37 60 1052327 1245 1
14106030 13983 40 -1 2 2 1 1 1 -1.0 -1.0 582.3618 0 -1 0 5 -1 -1 -1 -1.0 -1 0 -1 1
14106030 13984 2 -1 2 3 1 -1 8 -1.0 -1.0 582.3618 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106030 13985 2 -1 1 4 1 -1 8 -1.0 -1.0 582.3618 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106029 13978 50 -1 2 1 0 2 2 -1.0 -1.0 369.6386 0 -1 0 0 -1 -1 -1 4.22 16 500910 1323 2
14106029 13979 50 -1 1 2 0 2 1 -1.0 -1.0 369.6386 0 -1 0 0 -1 -1 -1 2.04344772727 12 445707 1323 1
14106029 13980 21 -1 2 3 1 2 4 -1.0 -1.0 369.6386 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106029 13981 21 -1 1 4 0 1 2 -1.0 -1.0 369.6386 0 -1 0 0 -1 -1 -1 4.22 16 500910 1323 2
14106028 13975 70 -1 2 1 1 1 3 -1.0 -1.0 342.3811 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106028 13976 70 -1 1 2 1 3 3 -1.0 -1.0 342.3811 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106028 13977 40 -1 1 3 1 3 4 -1.0 -1.0 342.3811 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106027 13972 21 -1 1 1 -1 1 1 -1.0 -1.0 283.1135 0 -1 0 0 -1 -1 -1 11.36 28 280603 1347 1
14106027 13973 21 -1 2 2 -1 1 1 -1.0 -1.0 283.1135 0 -1 0 0 -1 -1 -1 20.265 34 376949 1349 1
14106027 13974 2 -1 2 3 1 -1 8 -1.0 -1.0 283.1135 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106026 13967 50 -1 1 1 1 1 1 -1.0 -1.0 809.2278 0 -1 0 5 -1 -1 -1 7.36 15 371810 1347 1
14106026 13968 50 -1 2 2 1 2 2 -1.0 -1.0 809.2278 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 2
14106026 13969 17 -1 2 3 1 2 6 4.5 14.75 809.2278 325636 1347 1 1 -1 -1 -1 -1.0 -1 0 -1 0
