day dow fhtours hdexpfac hhno id jttours phtours
1 3 0 181 14105883 7749 0 0
1 3 0 214 14105882 7748 0 0
1 3 0 212 14105881 7747 0 0
1 3 0 461 14105880 7746 0 0
1 3 0 832 14105879 7745 0 0
1 3 0 192 14105878 7744 0 0
1 3 0 342 14105877 7743 0 0
1 3 0 570 14105876 7742 0 0
1 3 0 314 14105875 7741 0 0
1 3 0 328 14105874 7740 0 0
1 3 0 171 14105873 7739 0 0
1 3 0 260 14105872 7738 0 0
1 3 0 159 14105871 7737 0 0
1 3 0 124 14105870 7736 0 0
1 3 0 141 14105869 7735 0 0
1 3 0 212 14105868 7734 0 0
1 3 0 126 14105867 7733 0 0
1 3 0 37 14105866 7732 0 0
1 3 0 125 14105865 7731 0 0
1 3 0 199 14105864 7730 0 0
1 3 0 71 14105863 7729 0 0
1 3 0 190 14105862 7728 0 0
1 3 0 207 14105861 7727 0 0
1 3 0 73 14105860 7726 0 0
1 3 0 239 14105859 7725 0 0
1 3 0 193 14105858 7724 0 0
1 3 0 38 14105857 7723 0 0
1 3 0 295 14105856 7722 0 0
1 3 0 267 14105855 7721 0 0
1 3 0 194 14105854 7720 0 0
1 3 0 375 14105853 7719 0 0
1 3 0 212 14105852 7718 0 0
1 3 0 396 14105851 7717 0 0
1 3 0 619 14105850 7716 0 0
1 3 0 542 14105849 7715 0 0
1 3 0 380 14105848 7714 0 0
1 3 0 251 14105847 7713 0 0
1 3 0 308 14105846 7712 0 0
1 3 0 453 14105844 7711 0 0
1 3 0 362 14105843 7710 0 0
1 3 0 77 14105842 7709 0 0
1 3 0 239 14105841 7708 0 0
1 3 0 247 14105840 7707 0 0
1 3 0 325 14105839 7706 0 0
1 3 0 351 14105838 7705 0 0
1 3 0 230 14105837 7704 0 0
1 3 0 182 14105836 7703 0 0
1 3 0 245 14105835 7702 0 0
1 3 0 209 14105834 7701 0 0
1 3 0 237 14105833 7700 0 0
1 3 0 670 14105832 7699 0 0
1 3 0 336 14105831 7698 0 0
1 3 0 313 14105830 7697 0 0
1 3 0 237 14105829 7696 0 0
1 3 0 150 14105828 7695 0 0
1 3 0 131 14105827 7694 0 0
1 3 0 345 14105826 7693 0 0
1 3 0 185 14105825 7692 0 0
1 3 0 174 14105824 7691 0 0
1 3 0 149 14105823 7690 0 0
1 3 0 238 14105822 7689 0 0
1 3 0 749 14105821 7688 0 0
1 3 0 539 14105820 7687 0 0
1 3 0 253 14105819 7686 0 0
1 3 0 395 14105818 7685 0 0
1 3 0 262 14105817 7684 0 0
1 3 0 818 14105816 7683 0 0
1 3 0 871 14105815 7682 0 0
1 3 0 115 14105814 7681 0 0
1 3 0 150 14105813 7680 0 0
1 3 0 79 14105812 7679 0 0
1 3 0 630 14105811 7678 0 0
1 3 0 320 14105810 7677 0 0
1 3 0 335 14105809 7676 0 0
1 3 0 258 14105808 7675 0 0
1 3 0 279 14105807 7674 0 0
1 3 0 722 14105806 7673 0 0
1 3 0 114 14105805 7672 0 0
1 3 0 224 14105804 7671 0 0
1 3 0 278 14105803 7670 0 0
1 3 0 279 14105802 7669 0 0
1 3 0 480 14105801 7668 0 0
1 3 0 480 14105800 7667 0 0
1 3 0 487 14105799 7666 0 0
1 3 0 454 14105798 7665 0 0
1 3 0 93 14105797 7664 0 0
1 3 0 404 14105796 7663 0 0
1 3 0 285 14105795 7662 0 0
1 3 0 188 14105794 7661 0 0
1 3 0 122 14105793 7660 0 0
1 3 0 225 14105792 7659 0 0
1 3 0 2328 14105791 7658 0 0
1 3 0 197 14105789 7657 0 0
1 3 0 153 14105788 7656 0 0
1 3 0 1306 14105787 7655 0 0
