fraction_with_jobs_outside hh515 hhcu5 hhexpfac hhftw hhhsc hhincome hhno hhoad hhparcel hhptw hhret hhsize hhtaz hhuni hhvehs hhwkrs hownrent hrestype samptype zone_id
0 0 0 14.638 0 0 -1 300395 0 1208259 0 0 1 1252 1 1 0 -1 -1 2 606
0 0 0 3.907 0 0 -1 300400 0 903635 0 0 1 1267 1 1 0 -1 -1 3 59
0 0 0 3.907 0 0 -1 300402 0 920783 0 0 1 1270 1 0 0 -1 -1 3 30
0 0 0 12.975 0 0 -1 300403 0 133605 0 0 1 1280 1 0 0 -1 -1 2 2394
0 0 0 3.907 0 0 -1 300405 0 1171645 0 0 1 1273 1 0 0 -1 -1 3 1850
0 0 0 10.265 0 0 -1 300408 0 135365 0 0 1 1280 1 1 0 -1 -1 3 2415
0 0 0 4.161 0 0 -1 300411 0 1227150 0 0 1 1247 1 0 0 -1 -1 3 628
0 0 0 3.675 0 0 -1 300413 0 1029975 0 0 1 1269 1 0 0 -1 -1 3 92
0 0 0 12.577 0 0 -1 300414 0 1002585 0 0 1 1258 1 1 0 -1 -1 2 201
0 0 0 3.907 0 0 -1 300416 0 829512 0 0 1 1260 1 1 0 -1 -1 3 262
0 0 0 11.981 0 0 -1 300417 0 1113538 0 0 1 1264 1 1 0 -1 -1 2 118
0 0 0 14.667 0 0 -1 300418 0 1735 0 0 1 1249 1 0 0 -1 -1 2 540
0 0 0 32.951 0 0 -1 300422 0 84542 0 0 1 1290 1 2 0 -1 -1 2 2359
0 0 0 7.92 0 0 -1 300430 0 961036 0 0 1 1355 1 0 0 -1 -1 3 754
0 0 0 4.161 0 0 -1 300432 0 825108 0 0 1 1260 1 1 0 -1 -1 3 319
0 0 0 31.434 0 0 -1 300435 0 829109 0 0 1 1251 1 0 0 -1 -1 1 570
0 0 0 3.907 0 0 -1 300440 0 1153833 0 0 1 1268 1 0 0 -1 -1 3 69
0 0 0 3.907 0 0 -1 300441 0 1096762 0 0 1 1265 1 2 0 -1 -1 3 110
0 0 0 3.907 0 0 -1 300443 0 1209040 0 0 1 1268 1 1 0 -1 -1 3 68
0 0 0 13.592 0 0 -1 300445 0 1207146 0 0 1 1247 1 2 0 -1 -1 2 545
0 0 0 3.907 0 0 -1 300448 0 816036 0 0 1 1273 1 0 0 -1 -1 3 1877
0 0 0 4.161 0 0 -1 300456 0 846087 0 0 1 1254 1 0 0 -1 -1 3 603
0 0 0 15.04 0 0 -1 300461 0 866847 0 0 1 1256 1 0 0 -1 -1 2 430
0 0 0 13.467 0 0 -1 300463 0 192025 0 0 1 1279 1 1 0 -1 -1 2 2498
0 0 0 12.785 0 0 -1 300469 0 751789 0 0 1 1259 1 0 0 -1 -1 2 303
0 0 0 3.907 0 0 -1 300480 0 1089795 0 0 1 1268 1 0 0 -1 -1 3 66
0 0 0 4.161 0 0 -1 300482 0 920004 0 0 1 1270 1 0 0 -1 -1 3 28
0 0 0 14.638 0 0 -1 300483 0 1208297 0 0 1 1252 1 1 0 -1 -1 2 603
0 0 0 26.938 0 0 -1 300488 0 720825 0 0 1 1336 1 1 0 -1 -1 2 895
0 0 0 15.187 0 0 -1 300490 0 1214737 0 0 1 1339 1 1 0 -1 -1 2 461
0 0 0 3.907 0 0 -1 300493 0 833199 0 0 1 1334 1 1 0 -1 -1 3 985
0 0 0 16.514 0 0 -1 300503 0 1747 0 0 1 1254 1 0 0 -1 -1 1 552
0 0 0 14.667 0 0 -1 300506 0 1052415 0 0 1 1247 1 0 0 -1 -1 2 612
0 0 0 13.681 0 0 -1 300508 0 1070632 0 0 1 1272 1 1 0 -1 -1 2 1857
0 0 0 14.025 0 0 -1 300509 0 1115950 0 0 1 1254 1 1 0 -1 -1 2 425
0 0 0 12.577 0 0 -1 300514 0 1269238 0 0 1 1264 1 1 0 -1 -1 2 182
0 0 0 3.907 0 0 -1 300515 0 1224932 0 0 1 1264 1 1 0 -1 -1 3 282
0 0 0 3.907 0 0 -1 300520 0 1087986 0 0 1 1269 1 2 0 -1 -1 3 76
0 0 0 7.92 0 0 -1 300522 0 961270 0 0 1 1355 1 1 0 -1 -1 3 752
0 0 0 3.907 0 0 -1 300529 0 782446 0 0 1 1271 1 0 0 -1 -1 3 17
0 0 0 15.217 0 0 -1 300530 0 716641 0 0 1 1339 1 0 0 -1 -1 2 462
0 0 0 12.43 0 0 -1 300533 0 1043152 0 0 1 1268 1 1 0 -1 -1 2 96
0 0 0 10.265 0 0 -1 300534 0 189041 0 0 1 1279 1 1 0 -1 -1 3 2488
0 0 0 14.04 0 0 -1 300535 0 1240284 0 0 1 1269 1 1 0 -1 -1 2 90
0 0 0 10.265 0 0 -1 300539 0 58489 0 0 1 1287 1 1 0 -1 -1 3 2207
0 0 0 26.813 0 0 -1 300543 0 784573 0 0 1 1338 1 1 0 -1 -1 2 737
0 0 0 31.434 0 0 -1 300549 0 1209359 0 0 1 1355 1 1 0 -1 -1 1 780
0 0 0 3.907 0 0 -1 300552 0 1135601 0 0 1 1254 1 1 0 -1 -1 3 563
0 0 0 3.907 0 0 -1 300553 0 1098055 0 0 1 1271 1 0 0 -1 -1 3 26
