zone_id,district
1155,BKR
1156,BKR
1157,BKR
1158,BKR
1159,BKR
1160,BKR
1161,BKR
1162,BKR
1163,BKR
1164,BKR
1165,BKR
1166,BKR
1167,BKR
1168,BKR
1169,BKR
1170,BKR
1171,BKR
1172,BKR
1173,BKR
1174,BKR
1175,BKR
1176,BKR
1177,BKR
1178,BKR
1179,BKR
1180,BKR
1181,BKR
1182,BKR
1183,BKR
1184,BKR
1185,BKR
1186,BKR
1187,BKR
1188,BKR
1189,BKR
1190,BKR
1191,BKR
1192,BKR
1193,BKR
1194,BKR
1195,BKR
1196,BKR
1197,BKR
1198,BKR
1199,BKR
1200,BKR
1201,BKR
1202,BKR
1203,BKR
1204,BKR
1205,BKR
1206,BKR
1207,BKR
1208,BKR
1209,BKR
1210,BKR
1211,BKR
1212,BKR
1213,BKR
1214,BKR
1215,BKR
1231,Rest of King
1232,Rest of King
1233,Rest of King
1234,Rest of King
1235,Rest of King
1236,Rest of King
1237,Rest of King
1238,Rest of King
1239,Rest of King
1240,Rest of King
1241,Seattle
1242,Rest of King
1243,Seattle
1244,Seattle
1245,Seattle
1246,Seattle
1247,Seattle
1248,Seattle
1249,Seattle
1250,Seattle
1251,Seattle
1252,Seattle
1253,Seattle
1254,Seattle
1255,Seattle
1256,Seattle
1257,Seattle
1258,Seattle
1259,Seattle
1260,Seattle
1261,Seattle
1262,Seattle
1263,Seattle
1264,Seattle
1265,Seattle
1266,Seattle
1267,Seattle
1268,Seattle
1269,Seattle
1270,Seattle
1271,Seattle
1272,Seattle
1273,Seattle
1274,Seattle
1275,Snohomish
1276,Snohomish
1277,Snohomish
1278,Snohomish
1279,Snohomish
1280,Snohomish
1281,Snohomish
1282,Snohomish
1283,Snohomish
1284,Snohomish
1285,Snohomish
1286,Snohomish
1287,Snohomish
1288,Snohomish
1289,Snohomish
1290,Snohomish
1291,Snohomish
1292,Snohomish
1293,Snohomish
1294,Snohomish
1295,Rest of King
1296,Rest of King
1297,Rest of King
1298,Rest of King
1299,Rest of King
1300,Rest of King
1301,Rest of King
1302,Rest of King
1303,Rest of King
1304,Rest of King
1305,Rest of King
1306,Rest of King
1307,Rest of King
1308,Rest of King
1309,Rest of King
1310,Rest of King
1311,Rest of King
1312,Rest of King
1313,Rest of King
1314,Rest of King
1315,Rest of King
1316,Rest of King
1317,Rest of King
1318,Pierce
1319,Pierce
1320,Pierce
1321,Pierce
1322,Pierce
1323,Pierce
1324,Rest of King
1325,Rest of King
1326,Rest of King
1327,Rest of King
1328,Rest of King
1329,Rest of King
1330,Rest of King
1331,Rest of King
1332,Rest of King
1333,Rest of King
1334,Rest of King
1335,Rest of King
1336,Rest of King
1337,Rest of King
1338,Seattle
1339,Seattle
1340,Seattle
1341,Seattle
1342,Seattle
1343,Seattle
1344,Seattle
1345,Seattle
1346,Kitsap
1347,Kitsap
1348,Kitsap
1349,Kitsap
1350,Pierce
1351,Pierce
1352,Pierce
1353,Pierce
1354,Pierce
1355,Seattle
