OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,ID,SRID,ARM,Year_2010,Direction_,Location,LOC_ERROR,estimated,PSRCEdgeID,Oneway,HOV_I,HOV_J,NewINode,NewJNode,Shape_Length,key,key_hov
85,1,522,1,3413,6104,016R101521,0.264,5300,South Bound,On R1 RAMP (SR 16 EB TO BURNHM DR NW) After LEFT INTERSECTION SR 16 EB,NO ERROR,5952.103546,210083,0,0,0,129330,130131,1678.129057,129330-130131,0-0
86,1,13,1,3445,7443,705S100050,0.06,12000,South Bound,On S1 RAMP (21ST ST TO SR 705 SB) After RIGHT WYE CONNECTION LX00072,NO ERROR,14520.75452,9267,0,0,0,151232,151567,833.4651915,151232-151567,0-0
87,1,11,1,3446,7446,705Q100099,0.07,6700,North Bound,On Q1 RAMP (21ST ST TO SR 705 WB) After RIGHT WYE CONNECTION SR 509,NO ERROR,7882.982025,8097,0,0,0,151220,150783,903.5215771,151220-150783,0-0
88,1,495,1,3447,7445,705R100098,0.2,6600,South Bound,On R1 RAMP (SR 705 SB TO 21ST ST) After LEFT INTERSECTION SR 705 SB,NO ERROR,10085.70496,9268,0,0,0,150645,151232,1290.287409,150645-151232,0-0
89,1,586,1,3452,6129,018P101273,0.32,1800,East Bound,On P1 RAMP (SR 18 EB TO SE 256TH ST) After LEFT INTERSECTION SR 18 EB,NO ERROR,868.1349068,221435,0,0,0,184375,184374,2156.548752,184375-184374,0-0
90,1,588,1,3453,6215,018S501273,0.13,1800,West Bound,On S5 RAMP (SE 256TH ST TO SR 18 WB) After BOTHWAYS INTERSECTION LX01312,NO ERROR,1303.508606,221436,0,0,0,184377,184376,3472.474865,184377-184376,0-0
91,1,587,1,3454,6185,018Q101369,0.114,2400,East Bound,"On Q1 RAMP (SE 256TH ST TO SR 18 EB) After RIGHT INTERSECTION SE 256TH ST,  LEFT INTERSECTION LX01312",NO ERROR,3024.492508,221443,0,0,0,184374,184382,3012.803804,184374-184382,0-0
92,1,6,1,3460,5864,005S116966R,0.058,410,South Bound,On S1 RAMP (RAVENNA BLVD TO SR 5 REV) After RIGHT INTERSECTION S116963,NO ERROR,9882.605286,5590,0,0,0,70708,183887,1386.698876,70708-183887,0-0
93,1,614,1,3472,6795,099S102461,0.012,2000,South Bound,On S1 RAMP (14TH AVE S TO CD02512) After LEFT INTERSECTION 14TH AVE S,NO ERROR,2292.261574,61316,0,0,0,105805,105861,852.9260326,105805-105861,0-0
94,1,584,1,3481,5049,002P100480,0.208,4100,East Bound,On P1 RAMP (SR 2 EB TO SR 9) After LEFT INTERSECTION SR 2 EB,NO ERROR,9433.429993,218045,0,0,0,23762,23892,1192.816357,23762-23892,0-0
