year,military_jobs,w_geocode,Base,PSRC_ID,BKRCastTAZ
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,61.0,531000000000000.0,JBLM McChord,653.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
