TAZ,TAD,OldDistric,County,District,New DistrictName
271,48.0,8.0,King,6,East Side
272,48.0,8.0,King,6,East Side
273,48.0,8.0,King,6,East Side
274,48.0,8.0,King,6,East Side
275,48.0,8.0,King,6,East Side
276,48.0,8.0,King,6,East Side
277,48.0,8.0,King,6,East Side
278,48.0,8.0,King,6,East Side
279,48.0,8.0,King,6,East Side
280,48.0,8.0,King,6,East Side
281,48.0,8.0,King,6,East Side
282,47.0,8.0,King,6,East Side
283,48.0,8.0,King,6,East Side
284,48.0,8.0,King,6,East Side
285,47.0,8.0,King,6,East Side
286,48.0,8.0,King,6,East Side
287,48.0,8.0,King,6,East Side
288,48.0,8.0,King,6,East Side
289,48.0,8.0,King,6,East Side
290,48.0,8.0,King,6,East Side
291,48.0,8.0,King,6,East Side
292,48.0,8.0,King,6,East Side
293,48.0,8.0,King,6,East Side
294,48.0,8.0,King,6,East Side
295,48.0,8.0,King,6,East Side
296,48.0,8.0,King,6,East Side
297,44.0,8.0,King,6,East Side
298,48.0,8.0,King,6,East Side
299,48.0,8.0,King,6,East Side
300,48.0,8.0,King,6,East Side
301,48.0,8.0,King,6,East Side
302,48.0,8.0,King,6,East Side
303,48.0,8.0,King,6,East Side
304,48.0,8.0,King,6,East Side
305,48.0,8.0,King,6,East Side
306,48.0,8.0,King,6,East Side
307,48.0,8.0,King,6,East Side
308,48.0,8.0,King,6,East Side
309,48.0,8.0,King,6,East Side
310,48.0,8.0,King,6,East Side
311,48.0,8.0,King,6,East Side
312,48.0,8.0,King,6,East Side
313,48.0,8.0,King,6,East Side
314,48.0,8.0,King,6,East Side
315,48.0,8.0,King,6,East Side
316,48.0,8.0,King,6,East Side
317,44.0,8.0,King,6,East Side
318,44.0,8.0,King,6,East Side
319,44.0,8.0,King,6,East Side
320,44.0,8.0,King,6,East Side
321,44.0,8.0,King,6,East Side
322,44.0,8.0,King,6,East Side
323,44.0,8.0,King,6,East Side
324,48.0,8.0,King,6,East Side
325,48.0,8.0,King,6,East Side
326,44.0,8.0,King,6,East Side
327,44.0,8.0,King,6,East Side
328,44.0,8.0,King,6,East Side
329,44.0,8.0,King,6,East Side
330,44.0,8.0,King,6,East Side
331,44.0,8.0,King,6,East Side
332,44.0,8.0,King,6,East Side
333,44.0,8.0,King,6,East Side
334,44.0,8.0,King,6,East Side
335,44.0,8.0,King,6,East Side
336,44.0,8.0,King,6,East Side
337,44.0,8.0,King,6,East Side
338,44.0,8.0,King,6,East Side
339,44.0,8.0,King,6,East Side
340,44.0,8.0,King,6,East Side
341,44.0,8.0,King,6,East Side
342,44.0,8.0,King,6,East Side
343,44.0,8.0,King,6,East Side
344,44.0,8.0,King,6,East Side
345,44.0,8.0,King,6,East Side
346,44.0,8.0,King,6,East Side
347,44.0,8.0,King,6,East Side
348,44.0,8.0,King,6,East Side
349,44.0,8.0,King,6,East Side
350,44.0,8.0,King,6,East Side
351,44.0,8.0,King,6,East Side
352,44.0,8.0,King,6,East Side
353,44.0,8.0,King,6,East Side
354,44.0,8.0,King,6,East Side
355,44.0,8.0,King,6,East Side
356,44.0,8.0,King,6,East Side
357,44.0,8.0,King,6,East Side
358,44.0,8.0,King,6,East Side
359,47.0,8.0,King,6,East Side
360,47.0,8.0,King,6,East Side
361,47.0,8.0,King,6,East Side
362,47.0,8.0,King,6,East Side
363,47.0,8.0,King,6,East Side
364,47.0,8.0,King,6,East Side
365,47.0,8.0,King,6,East Side
366,47.0,8.0,King,6,East Side
367,47.0,8.0,King,6,East Side
368,47.0,8.0,King,6,East Side
369,47.0,8.0,King,6,East Side
370,47.0,8.0,King,6,East Side
371,47.0,8.0,King,6,East Side
372,47.0,8.0,King,6,East Side
373,47.0,8.0,King,6,East Side
374,47.0,8.0,King,6,East Side
375,47.0,8.0,King,6,East Side
376,47.0,8.0,King,6,East Side
377,47.0,8.0,King,6,East Side
378,47.0,8.0,King,6,East Side
379,47.0,8.0,King,6,East Side
380,47.0,8.0,King,6,East Side
381,47.0,8.0,King,6,East Side
382,47.0,8.0,King,6,East Side
383,47.0,8.0,King,6,East Side
384,44.0,8.0,King,6,East Side
385,44.0,8.0,King,6,East Side
386,44.0,8.0,King,6,East Side
387,44.0,8.0,King,6,East Side
388,44.0,8.0,King,6,East Side
389,47.0,8.0,King,6,East Side
390,47.0,8.0,King,6,East Side
391,47.0,8.0,King,6,East Side
392,47.0,8.0,King,6,East Side
393,47.0,8.0,King,6,East Side
394,47.0,8.0,King,6,East Side
395,47.0,8.0,King,6,East Side
396,47.0,8.0,King,6,East Side
397,47.0,8.0,King,6,East Side
398,47.0,8.0,King,6,East Side
399,47.0,8.0,King,6,East Side
400,47.0,8.0,King,6,East Side
401,47.0,8.0,King,6,East Side
402,47.0,8.0,King,6,East Side
403,47.0,8.0,King,6,East Side
404,47.0,8.0,King,6,East Side
405,47.0,8.0,King,6,East Side
406,47.0,8.0,King,6,East Side
407,47.0,8.0,King,6,East Side
408,47.0,8.0,King,6,East Side
409,47.0,8.0,King,6,East Side
410,47.0,8.0,King,6,East Side
411,47.0,8.0,King,6,East Side
412,47.0,8.0,King,6,East Side
413,47.0,8.0,King,6,East Side
414,47.0,8.0,King,6,East Side
415,47.0,8.0,King,6,East Side
416,47.0,8.0,King,6,East Side
417,47.0,8.0,King,6,East Side
418,47.0,8.0,King,6,East Side
419,47.0,8.0,King,6,East Side
420,47.0,8.0,King,6,East Side
421,47.0,8.0,King,6,East Side
422,47.0,8.0,King,6,East Side
423,47.0,8.0,King,6,East Side
424,47.0,8.0,King,6,East Side
425,47.0,8.0,King,6,East Side
426,47.0,8.0,King,6,East Side
427,47.0,8.0,King,6,East Side
428,47.0,8.0,King,6,East Side
429,50.0,8.0,King,6,East Side
430,47.0,8.0,King,6,East Side
431,50.0,8.0,King,6,East Side
432,47.0,8.0,King,6,East Side
433,47.0,8.0,King,6,East Side
434,47.0,8.0,King,6,East Side
435,47.0,8.0,King,6,East Side
436,47.0,8.0,King,6,East Side
437,47.0,8.0,King,6,East Side
438,47.0,8.0,King,6,East Side
439,47.0,8.0,King,6,East Side
440,47.0,8.0,King,6,East Side
441,47.0,8.0,King,6,East Side
